4,1983
5,1983
9,1983
2,1984
4,1984
5,1984
7,1984
9,1984
2,1985
4,1985
5,1985
6,1985
7,1985
9,1985
11,1985
2,1986
4,1986
5,1986
7,1986
9,1986
11,1986
2,1987
4,1987
5,1987
6,1987
7,1987
8,1987
9,1987
11,1987
12,1987
4,1988
5,1988
9,1988
11,1988
4,1989
5,1989
9,1989
11,1989
4,1990
5,1990
7,1990
9,1990
11,1990
4,1991
7,1991
9,1991
4,1992
5,1992
6,1992
7,1992
9,1992
2,1993
4,1993
5,1993
6,1993
7,1993
8,1993
9,1993
12,1993
4,1994
5,1994
6,1994
7,1994
8,1994
9,1994
11,1994
2,1995
4,1995
5,1995
6,1995
7,1995
9,1995
4,1996
5,1996
6,1996
7,1996
9,1996
2,1997
4,1997
5,1997
6,1997
7,1997
9,1997
2,1998
4,1998
5,1998
7,1998
8,1998
9,1998
2,1999
4,1999
5,1999
6,1999
7,1999
8,1999
9,1999
11,1999
2,2000
4,2000
5,2000
7,2000
9,2000
2,2001
4,2001
5,2001
7,2001
9,2001
2,2002
4,2002
5,2002
7,2002
9,2002
2,2003
4,2003
5,2003
7,2003
9,2003
2,2004
4,2004
5,2004
6,2004
7,2004
9,2004
11,2004
12,2004
2,2005
4,2005
5,2005
7,2005
9,2005
1,2006
2,2006
4,2006
5,2006
7,2006
9,2006
2,2007
4,2007
5,2007
9,2007
2,2008
4,2008
5,2008
9,2008
11,2008
2,2009
4,2009
5,2009
7,2009
9,2009
4,2010
5,2010
7,2010
9,2010
4,2011
9,2011
2,2013
4,2013
5,2013
7,2013
9,2013
12,2013
14,2013
2,2014
4,2014
7,2014
9,2014
15,2015
2,2016
4,2016
5,2016
7,2016
9,2016
2,2017
4,2017
5,2017
6,2017
7,2017
8,2017
9,2017
10,2017
11,2017
12,2017
2,2018
4,2018
5,2018
7,2018
9,2018
2,2019
4,2019
5,2019
6,2019
7,2019
9,2019
1,2020
2,2020
4,2020
5,2020
7,2020
9,2020
4,2021
5,2021
6,2021
7,2021
9,2021
2,2022
4,2022
5,2022
7,2022
9,2022
2,2023
4,2023
7,2023
9,2023
2,2024
4,2024
5,2024
7,2024
9,2024
2,2025
4,2025
7,2025
9,2025
2,2026
4,2026
5,2026
7,2026
9,2026
11,2026
2,2027
4,2027
5,2027
7,2027
9,2027
4,2028
5,2028
7,2028
